"","Source","Target","FreeFloat"
"1",64910733,64910735,0
"2",64910685,64910777,48
"3",64910685,64910797,16
"4",64910685,64913024,3
"5",64910685,64911921,-4
"6",64910686,64913024,-17
"7",64910727,64913025,0
"8",64910797,64911988,52
"9",64910772,64913024,-4
"10",64910685,64911923,1
"11",64910684,64910685,-22
"12",64910685,64910686,20
"13",64910795,64911988,133
"14",64910809,64911988,0
"15",64910686,64912347,8
"16",64910686,64912025,0
"17",64910686,64911972,1
"18",64910685,64911977,-54
"19",64910685,64911979,1
"20",64910686,64911978,-21
"21",64910686,64911980,58
"22",64910772,64912637,-18
"23",64910685,64910810,30
"24",64910685,64911868,133
"25",64910727,64910741,0
"26",64910777,64910781,1
"27",64910797,64910807,15
"28",64910813,64910822,2
"29",64910694,64911924,0
"30",64910685,64910795,1282
"31",64910685,64910809,-14
"32",64910685,64910808,132
"33",64910685,64910823,53
"34",64910808,64910823,-10
"35",64910694,64910810,1
"36",64910793,64910806,201
"37",64910806,64910821,39
"38",64910686,64912523,325
"39",64910685,64912523,4
"40",64910685,64912521,7
"41",64910686,64912521,10
"42",64910686,64912354,0
"43",64910685,64912354,153
"44",64910685,64912420,31
"45",64910684,64910694,1
"46",64910684,64912751,3
"47",64910684,64912752,50
"48",64910684,64912753,-5
"49",64910684,64912754,15
"50",64910684,64912755,-56
"51",64910684,64912756,224
"52",64910684,64912757,27
"53",64910684,64912758,91
"54",64910684,64912759,1
"55",64910684,64912760,-91
"56",64910684,64912761,90
"57",64910684,64912762,14
"58",64910684,64912722,46
"59",64910684,64912724,-18
"60",64910684,64912734,-387
"61",64910684,64912723,-42
"62",64910684,64912725,1
"63",64910684,64912740,91
"64",64910684,64912735,19
"65",64910684,64912744,0
"66",64910684,64912736,82
"67",64910684,64912742,56
"68",64910684,64912743,115
"69",64910684,64912738,-91
"70",64910684,64912728,-7
"71",64910684,64912745,132
"72",64910684,64912746,39
"73",64910684,64912747,-8
"74",64910684,64912739,0
"75",64910684,64912741,0
"76",64910684,64912750,27
"77",64910684,64912749,-4
"78",64910684,64912748,0
"79",64910684,64912737,3
"80",64910685,64910793,-4
"81",64910685,64910806,-45
"82",64910685,64910821,44
"83",64910685,64910792,-15
"84",64910685,64910805,5
"85",64910685,64910794,0
"86",64910685,64910783,190
"87",64910685,64912418,73
"88",64910685,64911917,17
"89",64910694,64911990,84
"90",64910685,64911992,24
"91",64910823,64911868,164
"92",64910684,64912917,-59
"93",64910684,64912897,-12
"94",64910684,64912885,1
"95",64910684,64912869,-11
"96",64910684,64912873,191
"97",64910684,64912861,1
"98",64910684,64912889,-17
"99",64910684,64912881,8
"100",64910684,64912893,0
"101",64910684,64912909,-21
"102",64910684,64912913,224
"103",64910684,64912905,28
"104",64910684,64912921,-38
"105",64910684,64912933,16
"106",64910684,64912929,408
"107",64910684,64912877,-28
"108",64910751,64910752,469
"109",64910694,64910751,1
"110",64910694,64911881,5
"111",64910694,64911856,35
"112",64910684,64910696,293
"113",64910696,64910685,31
"114",64910685,64912932,45
"115",64910685,64912912,-3
"116",64910694,64911992,3
"117",64910793,64912031,162
"118",64910792,64912031,7
"119",64910805,64912031,207
"120",64910806,64912031,0
"121",64910821,64912031,-11
"122",64910686,64911984,206
"123",64910813,64910713,28
"124",64910797,64910713,162
"125",64910697,64909670,-39
"126",64910697,64910717,14
"127",64910698,64909668,1
"128",64910686,64909669,75
"129",64910696,64910710,-35
"130",64910686,64911996,-7
"131",64910686,64912003,71
"132",64910686,64912009,13
"133",64910686,64912763,-182
"134",64910686,64912775,-43
"135",64910685,64912775,-4
"136",64910685,64912763,180
"137",64910686,64912766,32
"138",64910685,64912766,119
"139",64910686,64912769,0
"140",64910685,64912769,20
"141",64910686,64912772,23
"142",64910685,64912772,31
"143",64910686,64912777,1
"144",64910686,64912017,-8
"145",80128538,80124042,-126
"146",80128535,80123438,1
"147",80128531,80122623,35
"148",80128535,80121109,-36
"149",80128535,80121110,99
"150",80128532,80119114,52
"151",80128539,80119114,26
"152",80128508,80119114,0
"153",80128528,80128500,45
"154",80128545,80121517,-43
"155",80128532,80128496,0
"156",80128539,80128496,35
"157",80128532,80128535,-122
"158",80128536,80128521,3
"159",80128532,80124044,1
"160",80128542,80128538,-77
"161",80128535,80129478,0
"162",80128522,80122640,290
"163",80128540,80123680,-2
"164",80128543,80123835,-13
"165",80128547,80129497,-7
"166",80128547,80128544,14
"167",80128546,80128543,110
"168",80128546,80128545,-36
"169",80128547,80128546,1
"170",80128549,80128546,403
"171",80128548,80129495,-31
"172",80128537,80124038,15
"173",80128536,80124043,101
"174",80128543,80129475,227
"175",80128524,80128520,117
"176",80128541,80128539,1
"177",80128538,80128519,-11
"178",80128508,80128507,1
"179",80128545,80128531,33
"180",80128545,80128529,0
"181",80128544,80128537,-7
"182",80128545,80128540,0
"183",80128549,80128541,123
"184",80128548,80128542,3
"185",80128547,80128537,0
"186",80128519,80128518,35
"187",80128531,80128517,61
"188",80128521,80128522,0
"189",80128517,80128516,-74
"190",80128516,80128507,90
"191",80128517,80128508,19
"192",80128519,80128510,0
"193",80128522,80128513,-1
"194",80128524,80128515,97
"195",80129481,80118912,-11
"196",80129474,80121374,3
"197",80129486,80121374,52
"198",80129483,80128464,143
"199",80129483,80129430,1
"200",80129479,80128464,35
"201",80129493,80128460,-23
"202",80129479,80129483,10
"203",80129474,80128536,70
"204",80129495,80121947,19
"205",80129481,80121997,209
"206",80129480,80121997,25
"207",80129476,80129474,15
"208",80129495,80123680,0
"209",80129491,80123876,213
"210",80129479,80128466,-105
"211",80129497,80128467,11
"212",80129497,80129494,-17
"213",80129483,80124035,3
"214",80129487,80124041,227
"215",80129472,80124046,67
"216",80129473,80124047,31
"217",80129474,80124048,58
"218",80129475,80124049,203
"219",80129476,80127981,-11
"220",80129483,80129448,80
"221",80129489,80128471,88
"222",80129490,80128471,-11
"223",80129492,80129487,42
"224",80129476,80129486,28
"225",80129473,80129472,1
"226",80129486,80129475,2
"227",80129481,80128471,5
"228",80129487,80129478,4
"229",80129495,80129492,60
"230",80129496,80129493,467
"231",80129497,80129496,186
"232",80129454,80129447,-15
"233",80129447,80129438,-28
"234",80129454,80129445,-20
"235",65805322,65805323,38
"236",65805323,65805321,7
"237",65805336,65805339,1
"238",65805339,65805333,3
"239",65805335,65805338,7
"240",65805338,65805332,35
"241",65805347,65805349,28
"242",65805349,65805345,1
"243",65805348,65805350,20
"244",65805350,65805346,18
"245",80129509,80121996,116
"246",80129509,80124045,219
"247",80129509,80119118,158
"248",80129507,80121318,1
"249",80129507,80121404,80
"250",80129508,80121395,200
"251",80129507,80121395,5
"252",80129508,80121398,220
"253",80129507,80121398,-2
"254",80129508,80121401,1
"255",80129507,80121401,119
"256",80129508,80121408,0
"257",80129508,80121406,191
"258",80129507,80121406,1
"259",80129507,80121408,-81
"260",80129507,80121417,3
"261",80129507,80121425,177
"262",80129507,80121431,10
"263",80129507,80122043,-51
"264",80129507,80122282,-9
"265",80129507,80122345,-182
"266",80129507,80122346,-39
"267",80129508,80122531,2
"268",80129508,80122525,3
"269",80129509,80122475,75
"270",80129509,80122725,35
"271",80129509,80123295,14
"272",80129509,80123296,14
"273",80129509,80123297,175
"274",80129509,80123298,238
"275",80129509,80123299,35
"276",80129509,80123300,443
"277",80129509,80123301,128
"278",80129509,80123310,297
"279",80129509,80123311,62
"280",80129509,80123312,-1051
"281",80129509,80123321,-139
"282",80129509,80123322,17
"283",80129509,80123323,68
"284",80129509,80123324,4
"285",80129509,80123325,45
"286",80129509,80123328,119
"287",80129509,80123294,-90
"288",80129509,80123331,0
"289",80129508,80122798,-4
"290",80129508,80128469,-16
"291",80129508,80122803,-4
"292",80129508,80128088,118
"293",80129507,80123499,83
"294",80129508,80123615,-2
"295",80129508,80126333,14
"296",80129508,80126332,1
"297",80129508,80126335,203
"298",80129508,80126329,35
"299",80129508,80126330,7
"300",80129508,80126334,57
"301",80129509,80127878,-230
"302",80129509,80123721,56
"303",80129509,80123710,167
"304",80129509,80123709,152
"305",80129509,80123708,77
"306",80129509,80123717,2
"307",80129509,80123719,-7
"308",80129509,80123711,528
"309",80129509,80123712,0
"310",80129509,80123713,1
"311",80129509,80127877,28
"312",80129509,80127880,131
"313",80129509,80127881,203
"314",80129509,80127882,108
"315",80129509,80127883,441
"316",80129509,80123720,37
"317",80129509,80123715,-53
"318",80129509,80123716,242
"319",80129509,80123722,14
"320",80129509,80123714,-2
"321",80129509,80123723,-4
"322",80129509,80123718,2
"323",80129509,80127884,112
"324",80129509,80127886,74
"325",80129509,80123724,0
"326",80129509,80127885,-90
"327",80129509,80127887,203
"328",80129509,80127888,32
"329",80129509,80127889,53
"330",80129509,80127890,1
"331",80129509,80127891,-2
"332",80129509,80127892,175
"333",80129509,80127893,287
"334",80129509,80127894,0
"335",80129509,80127895,43
"336",80129509,80127896,-32
"337",80129509,80127897,12
"338",80129509,80127898,14
"339",80129509,80127899,-55
"340",80129509,80123890,3
"341",80129508,80123832,-314
"342",80129508,80123833,0
"343",80129507,80123833,52
"344",80129507,80128049,-139
"345",80129508,80128049,-24
"346",80129508,80123834,5
"347",80129507,80123834,-197
"348",80129508,80123876,3
"349",80129508,80123877,-11
"350",80129508,80129491,171
"351",80129508,80129489,-27
"352",80129508,80129490,20
"353",80129507,80128189,291
"354",80129508,80126182,47
"355",80129508,80129488,3
"356",80129507,80127442,52
"357",80129507,80127444,346
"358",80129508,80127443,1
"359",80129508,80127445,115
"360",80129507,80128468,-8
"361",80129507,80128150,108
"362",80129508,80129507,-187
"363",80129509,80129508,0
"364",80129508,80128547,18
"365",80129507,80129486,95
"366",80129508,80128549,-4
"367",80129508,80129486,-28
"368",80129508,80129481,71
"369",80129508,80128539,339
"370",80129508,80128537,28
"371",80129507,80129483,134
"372",80118925,80121419,1
"373",80118905,80129656,33
"374",80121147,80121946,0
"375",80122770,80118925,171
"376",80121946,80118925,3
"377",80118925,80118923,35
"378",80118925,80118926,14
"379",80121319,80118944,12
"380",80118944,80129639,41
"381",80121162,80129639,3
"382",80121319,80129639,63
"383",80121391,80121390,1
"384",80121609,80129516,204
"385",80121610,80129516,14
"386",80121609,80129515,1
"387",80121610,80129515,45
"388",80122544,80129568,133
"389",80122801,80121714,-2
"390",80122801,80121622,-25
"391",80122801,80121623,364
"392",80121608,80129879,0
"393",80121608,80126315,26
"394",80121714,80121608,115
"395",80121714,80121607,227
"396",80121716,80121609,46
"397",80121610,80127828,-11
"398",80121716,80121610,112
"399",80121714,80129879,1
"400",80121714,80126315,0
"401",80121716,80127828,-53
"402",80121936,80121716,0
"403",80121836,80121715,35
"404",80121623,80121716,-59
"405",80121622,80121715,207
"406",80121624,80129656,14
"407",80122546,80123679,82
"408",80122553,80123679,-4
"409",80121680,80129517,461
"410",80121713,80129641,-128
"411",80121710,80121713,3
"412",80121711,80121710,4
"413",80121712,80121711,6
"414",80122801,80121871,125
"415",80121838,80121835,49
"416",80121835,80121837,168
"417",80121837,80121836,3
"418",80121838,80121840,14
"419",80121850,80129516,56
"420",80121849,80121850,-60
"421",80121941,80121849,53
"422",80121938,80126328,350
"423",80122265,80129873,3
"424",80122721,80129873,6
"425",80121936,80127828,172
"426",80121937,80121936,-53
"427",80122255,80121938,45
"428",80121940,80129879,3
"429",80121940,80129516,90
"430",80121941,80121940,3
"431",80121942,80129516,-11
"432",80121943,80121942,-32
"433",80122265,80122315,45
"434",80122260,80122259,-54
"435",80122257,80123197,1
"436",80122260,80122258,49
"437",80122258,80123197,0
"438",80122259,80122258,0
"439",80122256,80129652,3
"440",80122256,80129518,3
"441",80122264,80122265,1
"442",80122261,80122264,12
"443",80122262,80122261,455
"444",80122263,80122262,1
"445",80122544,80127944,-32
"446",80122542,80123674,0
"447",80122801,80122549,-27
"448",80122801,80122550,35
"449",80122801,80122551,-4
"450",80122801,80122555,-44
"451",80122801,80122554,1
"452",80122801,80122553,147
"453",80122551,80122544,171
"454",80122549,80122542,1
"455",80122553,80122546,6
"456",80122543,80123675,-139
"457",80122550,80122543,1
"458",80122547,80123676,57
"459",80122554,80122547,56
"460",80122548,80123677,-10
"461",80122555,80122548,-82
"462",80122801,80129885,-4
"463",80122801,80123679,28
"464",80122801,80126421,59
"465",80126315,80129637,2
"466",80126317,80129631,0
"467",80126321,80126317,3
"468",80123394,80126316,-15
"469",80123394,80126322,105
"470",80126315,80123394,1
"471",80126421,80121319,60
"472",80127670,80123739,189
"473",80127752,80121391,146
"474",80127670,80129835,1
"475",80123739,80121946,0
"476",80123739,80129566,-4
"477",80126314,80129841,3
"478",80126327,80121624,107
"479",80123679,80121712,-133
"480",80127752,80121680,0
"481",80127413,80122256,18
"482",80127670,80122630,-2
"483",80123406,80129662,45
"484",80123200,80122721,1
"485",80127752,80123409,3
"486",80127413,80129518,-147
"487",80123200,80129593,143
"488",80123197,80123180,0
"489",80123200,80123201,-2
"490",80123406,80127828,3
"491",80123407,80123406,35
"492",80123408,80127413,3
"493",80123409,80123408,255
"494",80123675,80126295,81
"495",80123676,80129563,-15
"496",80123679,80129512,75
"497",80127752,80127867,2
"498",80127752,80127871,7
"499",80124098,80126321,8
"500",80127752,80124097,-4
"501",80124094,80124098,0
"502",80124095,80124094,3
"503",80124096,80124095,28
"504",80124097,80124096,49
"505",80127665,80127666,-1
"506",80126314,80126320,-161
"507",80126314,80129840,85
"508",80126319,80126315,49
"509",80126322,80129636,-3
"510",80126320,80126321,22
"511",80126319,80126320,-309
"512",80126327,80129656,59
"513",80126328,80126327,567
"514",80126419,80127829,101
"515",80126420,80129883,67
"516",80126421,80129884,504
"517",80127752,80127413,143
"518",80127752,80129588,139
"519",80127752,80129581,19
"520",80127752,80129576,161
"521",80127752,80129598,3
"522",80127752,80129604,194
"523",80127752,80129659,322
"524",80127752,80129677,0
"525",80127752,80129616,165
"526",80127752,80129651,34
"527",80127752,80129625,-11
"528",80127743,80129518,0
"529",80127745,80127830,63
"530",80127746,80127830,-15
"531",80127750,80127830,-27
"532",80127747,80127830,144
"533",80127749,80127830,40
"534",80127751,80127830,15
"535",80127745,80129519,3
"536",80127746,80129519,20
"537",80127750,80129519,-14
"538",80127747,80129519,3
"539",80127749,80129519,-4
"540",80127751,80129519,6
"541",80127752,80127745,91
"542",80127752,80127746,157
"543",80127752,80127750,0
"544",80127752,80127747,120
"545",80127752,80127749,126
"546",80127752,80127751,0
"547",80127752,80127756,1
"548",80127752,80127760,225
"549",80127752,80127764,0
"550",80127752,80127776,8
"551",80127752,80127780,-13
"552",80127752,80127788,1
"553",80127752,80127784,6
"554",80127752,80127796,49
"555",80127752,80127792,316
"556",80127752,80127812,17
"557",80127752,80127808,1
"558",80127752,80127804,3
"559",80127752,80127800,5
"560",80127752,80127816,-32
"561",80127752,80127824,-18
"562",80127752,80127820,-216
"563",80129566,80121432,0
"564",80127950,80129637,1
"565",80129637,80126322,-3
"566",80127828,80118905,560
"567",80129610,80118947,3
"568",80129517,80129873,-6
"569",80129519,80127670,115
"570",80129517,80122260,55
"571",80127844,80121946,-16
"572",80129596,80127665,4
"573",80129512,80129639,1047
"574",80127830,80126419,-1
"575",80129613,80129596,35
"576",80129613,80129518,182
"577",80129610,80121940,7
"578",80127860,80121941,17
"579",80127860,80121943,66
"580",80129517,80129515,-39
"581",80127856,80122721,1
"582",80127848,80129565,60
"583",80127959,80122258,1
"584",80129620,80127867,252
"585",80127955,80123200,38
"586",80129623,80129648,290
"587",80129621,80129644,117
"588",80129618,80122265,42
"589",80129596,80129873,17
"590",80127828,80129662,126
"591",80129519,80129647,-4
"592",80127960,80129658,55
"593",80127830,80129658,-1
"594",80129639,80122631,236
"595",80129519,80122630,1
"596",80129623,80129881,-24
"597",80129515,80129516,55
"598",80127860,80129612,-15
"599",80127859,80127855,6
"600",80127962,80123200,-49
"601",80129610,80129879,-91
"602",80129513,80122770,-4
"603",80129604,80129600,287
"604",80129609,80129657,25
"605",80129622,80129881,-7
"606",80127831,80123407,-106
"607",80129612,80129610,0
"608",80129610,80129516,129
"609",80127817,80127959,1
"610",80129639,80126319,11
"611",80129611,80129667,49
"612",80129624,80129650,5
"613",80129575,80129580,98
"614",80129580,80129587,1
"615",80129518,80129843,17
"616",80129519,80127743,1
"617",80127785,80127952,40
"618",80127781,80127950,-4
"619",80127793,80127957,-14
"620",80127809,80127961,11
"621",80127805,80127958,-28
"622",80127801,80127955,136
"623",80127797,80127962,5
"624",80127813,80127960,64
"625",80127821,80127963,147
"626",80127779,80127778,35
"627",80127780,80127779,41
"628",80127782,80127781,139
"629",80127783,80127782,7
"630",80127784,80127783,-4
"631",80127786,80127785,3
"632",80127787,80127786,54
"633",80127788,80127787,0
"634",80127792,80127791,116
"635",80127794,80127793,0
"636",80127795,80127794,-22
"637",80127796,80127795,29
"638",80127798,80127797,340
"639",80127799,80127798,437
"640",80127800,80127799,-125
"641",80127802,80127801,36
"642",80127803,80127802,-29
"643",80127804,80127803,-46
"644",80127806,80127805,-4
"645",80127807,80127806,5
"646",80127808,80127807,47
"647",80127810,80127809,17
"648",80127811,80127810,-39
"649",80127812,80127811,26
"650",80127814,80127813,-50
"651",80127815,80127814,-91
"652",80127816,80127815,26
"653",80127818,80127817,6
"654",80127819,80127818,55
"655",80127820,80127819,19
"656",80127822,80127821,1
"657",80127823,80127822,160
"658",80127824,80127823,92
"659",80127826,80127825,-11
"660",80127827,80127826,168
