"","Source","Target","FreeFloat"
"1",64910733,64910735,-210
"2",64910685,64910777,-11
"3",64910685,64910797,124
"4",64910685,64913024,222
"5",64910685,64911921,-11
"6",64910686,64913024,-94
"7",64910727,64913025,0
"8",64910797,64911988,1
"9",64910772,64913024,24
"10",64910685,64911923,91
"11",64910684,64910685,210
"12",64910685,64910686,-11
"13",64910795,64911988,14
"14",64910809,64911988,93
"15",64910686,64912347,2
"16",64910686,64912025,-17
"17",64910686,64911972,70
"18",64910685,64911977,-26
"19",64910685,64911979,1
"20",64910686,64911978,19
"21",64910686,64911980,-4
"22",64910772,64912637,-31
"23",64910685,64910810,59
"24",64910685,64911868,0
"25",64910727,64910741,130
"26",64910777,64910781,-37
"27",64910797,64910807,14
"28",64910813,64910822,-4
"29",64910694,64911924,0
"30",64910685,64910795,235
"31",64910685,64910809,-8
"32",64910685,64910808,228
"33",64910685,64910823,32
"34",64910808,64910823,39
"35",64910694,64910810,28
"36",64910793,64910806,196
"37",64910806,64910821,189
"38",64910686,64912523,-102
"39",64910685,64912523,3
"40",64910685,64912521,88
"41",64910686,64912521,171
"42",64910686,64912354,-44
"43",64910685,64912354,117
"44",64910685,64912420,31
"45",64910684,64910694,-22
"46",64910684,64912751,-79
"47",64910684,64912752,0
"48",64910684,64912753,-4
"49",64910684,64912754,38
"50",64910684,64912755,3
"51",64910684,64912756,-14
"52",64910684,64912757,-29
"53",64910684,64912758,15
"54",64910684,64912759,80
"55",64910684,64912760,-4
"56",64910684,64912761,113
"57",64910684,64912762,10
"58",64910684,64912722,17
"59",64910684,64912724,45
"60",64910684,64912734,10
"61",64910684,64912723,285
"62",64910684,64912725,88
"63",64910684,64912740,119
"64",64910684,64912735,-168
"65",64910684,64912744,147
"66",64910684,64912736,3
"67",64910684,64912742,7
"68",64910684,64912743,39
"69",64910684,64912738,11
"70",64910684,64912728,154
"71",64910684,64912745,47
"72",64910684,64912746,91
"73",64910684,64912747,-15
"74",64910684,64912739,-95
"75",64910684,64912741,-55
"76",64910684,64912750,21
"77",64910684,64912749,-15
"78",64910684,64912748,0
"79",64910684,64912737,0
"80",64910685,64910793,-13
"81",64910685,64910806,3
"82",64910685,64910821,1
"83",64910685,64910792,8
"84",64910685,64910805,143
"85",64910685,64910794,73
"86",64910685,64910783,41
"87",64910685,64912418,33
"88",64910685,64911917,1
"89",64910694,64911990,154
"90",64910685,64911992,528
"91",64910823,64911868,153
"92",64910684,64912917,-24
"93",64910684,64912897,-11
"94",64910684,64912885,1
"95",64910684,64912869,48
"96",64910684,64912873,28
"97",64910684,64912861,7
"98",64910684,64912889,43
"99",64910684,64912881,170
"100",64910684,64912893,290
"101",64910684,64912909,-11
"102",64910684,64912913,-4
"103",64910684,64912905,-25
"104",64910684,64912921,102
"105",64910684,64912933,117
"106",64910684,64912929,271
"107",64910684,64912877,-25
"108",64910751,64910752,100
"109",64910694,64910751,-10
"110",64910694,64911881,336
"111",64910694,64911856,237
"112",64910684,64910696,26
"113",64910696,64910685,3
"114",64910685,64912932,14
"115",64910685,64912912,46
"116",64910694,64911992,8
"117",64910793,64912031,-2
"118",64910792,64912031,182
"119",64910805,64912031,3
"120",64910806,64912031,-71
"121",64910821,64912031,3
"122",64910686,64911984,75
"123",64910813,64910713,-1292
"124",64910797,64910713,-16
"125",64910697,64909670,0
"126",64910697,64910717,-139
"127",64910698,64909668,-46
"128",64910686,64909669,3
"129",64910696,64910710,-28
"130",64910686,64911996,206
"131",64910686,64912003,7
"132",64910686,64912009,0
"133",64910686,64912763,1
"134",64910686,64912775,-55
"135",64910685,64912775,230
"136",64910685,64912763,0
"137",64910686,64912766,290
"138",64910685,64912766,3
"139",64910686,64912769,-8
"140",64910685,64912769,44
"141",64910686,64912772,-11
"142",64910685,64912772,14
"143",64910686,64912777,48
"144",64910686,64912017,0
"145",80128538,80124042,0
"146",80128535,80123438,7
"147",80128531,80122623,-2
"148",80128535,80121109,35
"149",80128535,80121110,-309
"150",80128532,80119114,140
"151",80128539,80119114,48
"152",80128508,80119114,-15
"153",80128528,80128500,278
"154",80128545,80121517,1
"155",80128532,80128496,40
"156",80128539,80128496,91
"157",80128532,80128535,-53
"158",80128536,80128521,18
"159",80128532,80124044,21
"160",80128542,80128538,-7
"161",80128535,80129478,-17
"162",80128522,80122640,1
"163",80128540,80123680,1
"164",80128543,80123835,1
"165",80128547,80129497,119
"166",80128547,80128544,28
"167",80128546,80128543,20
"168",80128546,80128545,1
"169",80128547,80128546,-7
"170",80128549,80128546,-5
"171",80128548,80129495,-179
"172",80128537,80124038,-176
"173",80128536,80124043,53
"174",80128543,80129475,7
"175",80128524,80128520,5
"176",80128541,80128539,245
"177",80128538,80128519,5
"178",80128508,80128507,143
"179",80128545,80128531,8
"180",80128545,80128529,26
"181",80128544,80128537,109
"182",80128545,80128540,-1
"183",80128549,80128541,-59
"184",80128548,80128542,59
"185",80128547,80128537,19
"186",80128519,80128518,221
"187",80128531,80128517,1
"188",80128521,80128522,1
"189",80128517,80128516,273
"190",80128516,80128507,-17
"191",80128517,80128508,-70
"192",80128519,80128510,-2
"193",80128522,80128513,10
"194",80128524,80128515,55
"195",80129481,80118912,-66
"196",80129474,80121374,2
"197",80129486,80121374,1
"198",80129483,80128464,56
"199",80129483,80129430,49
"200",80129479,80128464,0
"201",80129493,80128460,1
"202",80129479,80129483,-31
"203",80129474,80128536,-1
"204",80129495,80121947,0
"205",80129481,80121997,226
"206",80129480,80121997,1
"207",80129476,80129474,3
"208",80129495,80123680,147
"209",80129491,80123876,62
"210",80129479,80128466,3
"211",80129497,80128467,136
"212",80129497,80129494,73
"213",80129483,80124035,26
"214",80129487,80124041,5
"215",80129472,80124046,0
"216",80129473,80124047,1
"217",80129474,80124048,168
"218",80129475,80124049,33
"219",80129476,80127981,315
"220",80129483,80129448,252
"221",80129489,80128471,-14
"222",80129490,80128471,1
"223",80129492,80129487,24
"224",80129476,80129486,0
"225",80129473,80129472,452
"226",80129486,80129475,-30
"227",80129481,80128471,-11
"228",80129487,80129478,-31
"229",80129495,80129492,-15
"230",80129496,80129493,1
"231",80129497,80129496,91
"232",80129454,80129447,-9
"233",80129447,80129438,28
"234",80129454,80129445,-31
"235",65805322,65805323,228
"236",65805323,65805321,31
"237",65805336,65805339,-134
"238",65805339,65805333,212
"239",65805335,65805338,-35
"240",65805338,65805332,-35
"241",65805347,65805349,0
"242",65805349,65805345,154
"243",65805348,65805350,219
"244",65805350,65805346,-90
"245",80129509,80121996,-4
"246",80129509,80124045,21
"247",80129509,80119118,38
"248",80129507,80121318,332
"249",80129507,80121404,54
"250",80129508,80121395,84
"251",80129507,80121395,20
"252",80129508,80121398,-309
"253",80129507,80121398,11
"254",80129508,80121401,38
"255",80129507,80121401,54
"256",80129508,80121408,14
"257",80129508,80121406,242
"258",80129507,80121406,-28
"259",80129507,80121408,-31
"260",80129507,80121417,1
"261",80129507,80121425,185
"262",80129507,80121431,62
"263",80129507,80122043,14
"264",80129507,80122282,1
"265",80129507,80122345,-50
"266",80129507,80122346,0
"267",80129508,80122531,-210
"268",80129508,80122525,1
"269",80129509,80122475,-39
"270",80129509,80122725,-15
"271",80129509,80123295,0
"272",80129509,80123296,1
"273",80129509,80123297,3
"274",80129509,80123298,184
"275",80129509,80123299,0
"276",80129509,80123300,236
"277",80129509,80123301,45
"278",80129509,80123310,185
"279",80129509,80123311,168
"280",80129509,80123312,262
"281",80129509,80123321,5
"282",80129509,80123322,-44
"283",80129509,80123323,0
"284",80129509,80123324,28
"285",80129509,80123325,10
"286",80129509,80123328,178
"287",80129509,80123294,17
"288",80129509,80123331,66
"289",80129508,80122798,179
"290",80129508,80128469,29
"291",80129508,80122803,73
"292",80129508,80128088,18
"293",80129507,80123499,77
"294",80129508,80123615,7
"295",80129508,80126333,0
"296",80129508,80126332,181
"297",80129508,80126335,-4
"298",80129508,80126329,3
"299",80129508,80126330,-53
"300",80129508,80126334,645
"301",80129509,80127878,0
"302",80129509,80123721,143
"303",80129509,80123710,241
"304",80129509,80123709,-23
"305",80129509,80123708,158
"306",80129509,80123717,17
"307",80129509,80123719,174
"308",80129509,80123711,63
"309",80129509,80123712,66
"310",80129509,80123713,-17
"311",80129509,80127877,-1
"312",80129509,80127880,35
"313",80129509,80127881,-1
"314",80129509,80127882,1
"315",80129509,80127883,1
"316",80129509,80123720,116
"317",80129509,80123715,413
"318",80129509,80123716,93
"319",80129509,80123722,3
"320",80129509,80123714,3
"321",80129509,80123723,39
"322",80129509,80123718,10
"323",80129509,80127884,50
"324",80129509,80127886,-314
"325",80129509,80123724,62
"326",80129509,80127885,42
"327",80129509,80127887,24
"328",80129509,80127888,46
"329",80129509,80127889,1
"330",80129509,80127890,0
"331",80129509,80127891,-11
"332",80129509,80127892,18
"333",80129509,80127893,4
"334",80129509,80127894,1
"335",80129509,80127895,-84
"336",80129509,80127896,13
"337",80129509,80127897,70
"338",80129509,80127898,1
"339",80129509,80127899,-11
"340",80129509,80123890,-90
"341",80129508,80123832,154
"342",80129508,80123833,273
"343",80129507,80123833,172
"344",80129507,80128049,5
"345",80129508,80128049,138
"346",80129508,80123834,4
"347",80129507,80123834,3
"348",80129508,80123876,1
"349",80129508,80123877,91
"350",80129508,80129491,1
"351",80129508,80129489,434
"352",80129508,80129490,-7
"353",80129507,80128189,3
"354",80129508,80126182,112
"355",80129508,80129488,-67
"356",80129507,80127442,0
"357",80129507,80127444,23
"358",80129508,80127443,3
"359",80129508,80127445,24
"360",80129507,80128468,195
"361",80129507,80128150,111
"362",80129508,80129507,28
"363",80129509,80129508,80
"364",80129508,80128547,63
"365",80129507,80129486,11
"366",80129508,80128549,168
"367",80129508,80129486,4
"368",80129508,80129481,54
"369",80129508,80128539,43
"370",80129508,80128537,111
"371",80129507,80129483,-13
"372",80118925,80121419,318
"373",80118905,80129656,1
"374",80121147,80121946,136
"375",80122770,80118925,-8
"376",80121946,80118925,-15
"377",80118925,80118923,-37
"378",80118925,80118926,5
"379",80121319,80118944,1
"380",80118944,80129639,29
"381",80121162,80129639,63
"382",80121319,80129639,115
"383",80121391,80121390,31
"384",80121609,80129516,119
"385",80121610,80129516,1
"386",80121609,80129515,1
"387",80121610,80129515,-4
"388",80122544,80129568,177
"389",80122801,80121714,207
"390",80122801,80121622,62
"391",80122801,80121623,207
"392",80121608,80129879,1
"393",80121608,80126315,122
"394",80121714,80121608,-15
"395",80121714,80121607,-35
"396",80121716,80121609,203
"397",80121610,80127828,61
"398",80121716,80121610,-58
"399",80121714,80129879,-312
"400",80121714,80126315,39
"401",80121716,80127828,1
"402",80121936,80121716,97
"403",80121836,80121715,-1
"404",80121623,80121716,14
"405",80121622,80121715,203
"406",80121624,80129656,8
"407",80122546,80123679,171
"408",80122553,80123679,-273
"409",80121680,80129517,158
"410",80121713,80129641,-3
"411",80121710,80121713,132
"412",80121711,80121710,-1035
"413",80121712,80121711,108
"414",80122801,80121871,77
"415",80121838,80121835,-240
"416",80121835,80121837,28
"417",80121837,80121836,63
"418",80121838,80121840,7
"419",80121850,80129516,3
"420",80121849,80121850,-185
"421",80121941,80121849,12
"422",80121938,80126328,0
"423",80122265,80129873,171
"424",80122721,80129873,40
"425",80121936,80127828,13
"426",80121937,80121936,1
"427",80122255,80121938,7
"428",80121940,80129879,157
"429",80121940,80129516,161
"430",80121941,80121940,47
"431",80121942,80129516,147
"432",80121943,80121942,10
"433",80122265,80122315,158
"434",80122260,80122259,3
"435",80122257,80123197,22
"436",80122260,80122258,1
"437",80122258,80123197,381
"438",80122259,80122258,0
"439",80122256,80129652,28
"440",80122256,80129518,0
"441",80122264,80122265,-13
"442",80122261,80122264,28
"443",80122262,80122261,-7
"444",80122263,80122262,3
"445",80122544,80127944,1
"446",80122542,80123674,77
"447",80122801,80122549,22
"448",80122801,80122550,-7
"449",80122801,80122551,40
"450",80122801,80122555,207
"451",80122801,80122554,-53
"452",80122801,80122553,-1
"453",80122551,80122544,126
"454",80122549,80122542,-195
"455",80122553,80122546,0
"456",80122543,80123675,336
"457",80122550,80122543,43
"458",80122547,80123676,61
"459",80122554,80122547,224
"460",80122548,80123677,-12
"461",80122555,80122548,37
"462",80122801,80129885,76
"463",80122801,80123679,7
"464",80122801,80126421,0
"465",80126315,80129637,-14
"466",80126317,80129631,-2
"467",80126321,80126317,4
"468",80123394,80126316,-91
"469",80123394,80126322,-161
"470",80126315,80123394,31
"471",80126421,80121319,-120
"472",80127670,80123739,330
"473",80127752,80121391,54
"474",80127670,80129835,70
"475",80123739,80121946,16
"476",80123739,80129566,9
"477",80126314,80129841,-25
"478",80126327,80121624,0
"479",80123679,80121712,0
"480",80127752,80121680,-10
"481",80127413,80122256,55
"482",80127670,80122630,239
"483",80123406,80129662,203
"484",80123200,80122721,97
"485",80127752,80123409,157
"486",80127413,80129518,119
"487",80123200,80129593,-3
"488",80123197,80123180,-122
"489",80123200,80123201,7
"490",80123406,80127828,0
"491",80123407,80123406,95
"492",80123408,80127413,-11
"493",80123409,80123408,59
"494",80123675,80126295,115
"495",80123676,80129563,-24
"496",80123679,80129512,162
"497",80127752,80127867,3
"498",80127752,80127871,269
"499",80124098,80126321,94
"500",80127752,80124097,17
"501",80124094,80124098,0
"502",80124095,80124094,-10
"503",80124096,80124095,245
"504",80124097,80124096,253
"505",80127665,80127666,-6
"506",80126314,80126320,0
"507",80126314,80129840,3
"508",80126319,80126315,39
"509",80126322,80129636,66
"510",80126320,80126321,0
"511",80126319,80126320,-83
"512",80126327,80129656,11
"513",80126328,80126327,119
"514",80126419,80127829,77
"515",80126420,80129883,7
"516",80126421,80129884,-122
"517",80127752,80127413,112
"518",80127752,80129588,57
"519",80127752,80129581,21
"520",80127752,80129576,45
"521",80127752,80129598,1
"522",80127752,80129604,1
"523",80127752,80129659,-16
"524",80127752,80129677,111
"525",80127752,80129616,98
"526",80127752,80129651,-49
"527",80127752,80129625,3
"528",80127743,80129518,-10
"529",80127745,80127830,-7
"530",80127746,80127830,15
"531",80127750,80127830,-15
"532",80127747,80127830,-91
