"","Source","Target"
"1","103086862","103344004"
"2","103341932","103088934"
"3","104177006","103344004"
"4","103086679","104179078"
"5","103341749","103344004"
"6","104176823","104179078"
"7","103086860","103088934"
"8","103341930","104179078"
"9","104177004","103088934"
"10","103086858","103344003"
"11","103341928","104179077"
"12","104177002","103088933"
"13","103086464","80127885"
"14","103341534","92251874"
"15","104176608","88671578"
"16","103086677","71485735"
"17","103341747","65800156"
"18","104176821","61774510"
"19","103081868","69500330"
"20","103336938","64910312"
"21","103492237","92251796"
"22","104172012","78889920"
"23","59211858","67690576"
"24","59659707","59659635"
"25","61579108","61774509"
"26","61687326","86686416"
"27","61775218","103492226"
"28","62955569","61775188"
"29","64910343","62957917"
"30","64977835","61687326"
"31","65797663","88671500"
"32","65983238","62955558"
"33","67690609","64980469"
"34","69500363","103081716"
"35","71483028","86680124"
"36","78890071","62955536"
"37","80127809","94203598"
"38","86680200","92251799"
"39","88625003","88671579"
"40","88671654","61687293"
"41","92251950","59667457"
"42","92445547","88625014"
"43","94197382","69500363"
"44","104172335","71482997"
"45","104172334","62957918"
"46","104172333","65983208"
"47","104181501","103336267"
"48","104180806","103336063"
"49","104180806","92445547"
"50","103082079","88625155"
"51","103082080","59214166"
"52","103337149","71485736"
"53","103337150","103088079"
"54","103492448","64910332"
"55","103492449","61581805"
"56","104172223","103492450"
"57","104172224","64977824"
"58","103336059","103081714"
"59","103336059","59211858"
"60","104171133","65985629"
"61","104171133","64980470"
"62","103343764","104172223"
"63","104178838","104179806"
"64","103343763","61579075"
"65","103343767","86680200"
"66","104178837","94197306"
"67","104178841","88625157"
"68","103343762","78889995"
"69","103343766","103336863"
"70","103343766","62955569"
"71","104178836","69500332"
"72","104178840","61579097"
"73","104178840","88671643"
"74","103343761","61687315"
"75","103343761","80127809"
"76","104178835","103336787"
"77","104178835","104178836"
"78","104170589","59659681"
"79","104172260","104178839"
"80","103339701","71482998"
"81","104174775","104171341"
"82","104172258","59659641"
"83","103340786","80127960"
"84","104175860","92445698"
"85","104172259","86686597"
"86","104172257","78896288"
"87","104172257","104170594"
"88","104170307","86680048"
"89","104172256","104175666"
"90","103349607","71483028"
"91","104184681","61775207"
"92","72765447","92445558"
"93","104172372","104177947"
"94","104179767","103081857"
"95","104173520","103343765"
"96","104172371","65797663"
"97","104172371","103343763"
"98","104174767","64977835"
"99","104172370","67690598"
"100","104173344","103343768"
"101","104173873","59211825"
"102","104180820","61579108"
"103","103082078","88681101"
"104","103337148","78896469"
"105","103492447","61687296"
"106","104172222","104172001"
"107","104184816","92439331"
"108","104184484","103336938"
"109","104185300","103081868"
"110","103081027","104172335"
"111","103336097","103492237"
"112","104171171","67690579"
"113","104171543","88625079"
"114","103337412","78889919"
"115","104172486","59211827"
"116","103081026","92258347"
"117","103336096","104185298"
"118","104171170","104172370"
"119","104171537","103336786"
"120","104171537","103081792"
"121","104184683","104171543"
"122","104184927","104172487"
"123","104171538","104174767"
"124","104172367","104184816"
"125","104173196","103492449"
"126","104173196","103339701"
"127","104179516","104184683"
"128","104185255","64912725"
"129","104185301","59659707"
"130","104172300","94206485"
"131","104179048","62955539"
"132","104180786","103344732"
"133","104184677","104172256"
"134","104171623","104179419"
"135","104172255","62955538"
"136","104177076","104170308"
"137","104184489","65983207"
"138","104171539","103343767"
"139","104171539","104185301"
"140","104173146","104180820"
"141","104178160","104171858"
"142","104184873","104171539"
"143","103081025","103081027"
"144","103081025","72765446"
"145","103334997","104171937"
"146","103336095","69503055"
"147","103336095","92251950"
"148","104170071","103495457"
"149","104171169","104174769"
"150","104171169","104172372"
"151","104176650","104171307"
"152","104176650","104184401"
"153","104178524","103082464"
"154","103081024","88625003"
"155","103336094","67693267"
"156","103336138","104172255"
"157","104170420","61686616"
"158","104171168","86680189"
"159","104171212","103349608"
"160","104172254","104177007"
"161","104172299","64912724"
"162","104172743","104178841"
"163","104172762","86681336"
"164","104173679","103081024"
"165","104173679","104185256"
"166","104173679","104175666"
"167","104173679","104184979"
"168","104174071","103336140"
"169","104174081","103081793"
"170","104174081","104184927"
"171","104175922","59659639"
"172","104176649","92253086"
"173","104177007","104172254"
"174","104177829","104171861"
"175","104178523","104171623"
"176","104181765","103336095"
"177","104184858","103337148"
"178","104184871","104171172"
"179","104184871","104176649"
"180","104184886","104172298"
"181","104184893","67690609"
"182","104184928","104173104"
"183","104184979","80121411"
"184","104185337","103083003"
"185","103344244","104171623"
"186","104179318","104178842"
"187","104179909","104172372"
"188","103334816","104177265"
"189","104169890","80127961"
"190","104176401","64977802"
"191","103336137","104176405"
"192","104171211","88671654"
"193","104184481","80127963"
"194","103336136","104179516"
"195","103337223","69500352"
"196","104171210","104181766"
"197","104171533","104184489"
"198","104171533","104175954"
"199","104172297","104174071"
"200","104172297","104172152"
"201","103336135","104171209"
"202","104171209","104179048"
"203","104172475","80121592"
"204","104176397","104181482"
"205","103344243","104176650"
"206","104179317","103340786"
"207","104171534","104180786"
"208","103343719","104170411"
"209","103343719","104173196"
"210","104178793","103336136"
"211","104178793","104184421"
"212","104172365","104171532"
"213","104173519","104184421"
"214","103336000","104184489"
"215","103336109","103492448"
"216","103336109","104172760"
"217","103336461","69500333"
"218","104171074","104173146"
"219","104171183","104176405"
"220","104171183","104172148"
"221","104171535","65797632"
"222","104171535","103336784"
"223","104176393","104179767"
"224","103336121","104171539"
"225","103337705","61687295"
"226","103343702","104171208"
"227","104171195","103336103"
"228","104171298","104184994"
"229","104172366","64910310"
"230","104172366","104172337"
"231","104172366","104172298"
"232","104172779","104177076"
"233","104177571","103082079"
"234","104178522","103343719"
"235","104178776","104184878"
"236","104178787","104178523"
"237","104185285","104185255"
"238","103335995","92252546"
"239","103336129","103346021"
"240","103336455","104172368"
"241","103336455","104173489"
"242","103343700","103082463"
"243","103346021","104185353"
"244","103346870","104174001"
"245","104171069","103081030"
"246","104171203","103334996"
"247","104171203","104184487"
"248","104171529","104173679"
"249","104171529","103336453"
"250","104174097","104177202"
"251","104178774","104172879"
"252","104179808","103334976"
"253","104181095","104177947"
"254","104181944","104171203"
"255","104184505","104178838"
"256","103081023","103349852"
"257","103335011","104171167"
"258","103336093","104170085"
"259","103336113","103348555"
"260","103336128","103338030"
"261","104170085","92439150"
"262","104171167","103336000"
"263","104171187","104181055"
"264","104171202","104179909"
"265","104171620","103492162"
"266","104171620","103344244"
"267","104184926","88618606"
"268","103335997","80127820"
"269","103336051","104181055"
"270","103336139","104172224"
"271","103336456","104179077"
"272","103337222","103492161"
"273","103343650","103336109"
"274","103345030","104170420"
"275","104171071","94197371"
"276","104171125","103337149"
"277","104171125","104181765"
"278","104171213","104173520"
"279","104171530","104172258"
"280","104172296","92260327"
"281","104172296","104172297"
"282","104178724","103344449"
"283","104180104","94197230"
"284","103081022","104171211"
"285","103335102","103336862"
"286","103335998","104174099"
"287","103336091","103337223"
"288","103336091","103349431"
"289","103336092","61775185"
"290","103336112","104178724"
"291","103337286","103337533"
"292","103339700","104174068"
"293","103349427","103493372"
"294","103491391","104174796"
"295","104170176","103491392"
"296","104171072","78889996"
"297","104171165","78890060"
"298","104171165","103081026"
"299","104171166","104170412"
"300","104171186","104184484"
"301","104172360","103343330"
"302","104174068","103337222"
"303","104174774","103081023"
"304","104184434","104185337"
"305","104184501","103492833"
"306","104185350","104181501"
"307","104185350","104180820"
"308","104185350","104172475"
"309","103335008","103337074"
"310","103335973","104178774"
"311","103335973","104172743"
"312","103335973","104171166"
"313","103336108","103343149"
"314","103336108","103334976"
"315","103336108","104180806"
"316","103336108","94197979"
"317","103338224","104170071"
"318","103339698","104172365"
"319","103343649","104171074"
"320","104170082","104175954"
"321","104171047","104172582"
"322","104171047","103336113"
"323","104171047","104172586"
"324","104171182","103082463"
"325","104171182","103336094"
"326","104171182","103335973"
"327","104171182","104171534"
"328","104173298","104171212"
"329","104174772","104172012"
"330","104178723","104171174"
"331","103335996","86680049"
"332","103335996","92445622"
"333","103336120","80127884"
"334","103336120","104171622"
"335","103336120","104171129"
"336","103336457","104174774"
"337","103336457","103336052"
"338","103349851","103081154"
"339","104171070","104172364"
"340","104171070","104174068"
"341","104171194","103343763"
"342","104171194","65797652"
"343","104171194","103492083"
"344","104171531","104179467"
"345","104171531","104184858"
"346","104172364","104172476"
"347","104172585","103492450"
"348","104179422","104172225"
"349","104180807","103082080"
"350","104184676","104174099"
"351","104184925","59667458"
"352","103335975","103349413"
"353","103335975","103343762"
"354","103335975","104174782"
"355","103335975","104169978"
"356","103336196","103501521"
"357","103336319","61775218"
"358","103336327","103335973"
"359","103343651","92251939"
"360","104171049","104170050"
"361","104171049","104184882"
"362","104171049","103337074"
"363","104171049","104178787"
"364","104171270","104170176"
"365","104171393","104184505"
"366","104171401","103343651"
"367","104174138","104183628"
"368","104174164","104172363"
"369","104178725","104178223"
"370","103336099","103337681"
"371","103336335","92258166"
"372","103336343","61686617"
"373","104171173","104183629"
"374","104171198","94197382"
"375","104171409","104178446"
"376","104171417","104172879"
"377","104174067","104170412"
"378","103335970","104171417"
"379","103335970","104171539"
"380","103335970","103336113"
"381","103335991","104184886"
"382","103335993","103349602"
"383","103335999","104184405"
"384","103335999","104170924"
"385","103336119","104171533"
"386","103336119","104176857"
"387","103336119","104171936"
"388","103336193","104172364"
"389","103336351","103345979"
"390","103336359","104171536"
"391","103336367","104172361"
"392","103336375","103335102"
"393","103336451","104185300"
"394","103337411","103337681"
"395","103338120","88671502"
"396","103338423","104174165"
"397","103338423","94203779"
"398","103343665","104173679"
"399","103343718","103336456"
"400","103344392","103337078"
"401","103345922","88625078"
"402","103345979","104174071"
"403","103345979","103081022"
"404","103345979","103336051"
"405","103345979","104184858"
"406","103345979","104179171"
"407","103348547","104179458"
"408","103349364","65983238"
"409","103349806","104170085"
"410","103349818","103335343"
"411","103349947","104174782"
"412","104171044","103341775"
"413","104171044","104180996"
"414","104171044","103349587"
"415","104171065","104172607"
"416","104171067","61775187"
"417","104171073","65983205"
"418","104171073","104178840"
"419","104171193","104176614"
"420","104171193","103335340"
"421","104171193","104175010"
"422","104171267","103349947"
"423","104171425","104172755"
"424","104171433","104170403"
"425","104171441","104172183"
"426","104171449","59211847"
"427","104171525","104172585"
"428","104172485","104175954"
"429","104173174","104178894"
"430","104173194","103336193"
"431","104173210","104171620"
"432","104173223","104174081"
"433","104173497","94197307"
"434","104173497","104170082"
"435","104173497","103335975"
"436","104173497","103343712"
"437","104175025","103082264"
"438","104175028","103335343"
"439","104176396","104171270"
"440","104177236","104171072"
"441","104178219","67690578"
"442","104178739","71482995"
"443","104178792","103335970"
"444","104179466","92439917"
"445","104180996","104171393"
"446","104180996","104176397"
"447","104181053","104178723"
"448","104181053","103337508"
"449","104181053","103349705"
"450","104181053","103081717"
"451","104181053","104178743"
"452","104183621","92252547"
"453","104184438","104184882"
"454","104184490","103335329"
"455","104184490","103088260"
"456","104184880","104170412"
"457","104184892","104184501"
"458","104184892","104171539"
"459","104185021","104172486"
"460","104185348","103082081"
"461","104185349","104170412"
"462","103336090","104171170"
"463","103336090","103335999"
"464","104171164","65983227"
"465","104171164","94197231"
"466","103343673","104176392"
"467","104178747","103082704"
"468","104171513","104172333"
"469","103335098","104171531"
"470","104170172","103348554"
"471","104171756","104179141"
"472","104174137","103336138"
"473","104174137","104178522"
"474","103335800","104178160"
"475","104170874","104174958"
"476","103080264","92251798"
"477","103335009","103336092"
"478","103335009","104171069"
"479","103335334","104177953"
"480","103335334","103342873"
"481","104170083","104184980"
"482","104170083","104173298"
"483","104170408","104178894"
"484","104170408","103345058"
"485","103081361","104171168"
"486","103336118","104181053"
"487","103336431","104185349"
"488","104171192","104171073"
"489","104171505","104171531"
"490","104172756","104172607"
"491","104174141","104180811"
"492","104180893","104177584"
"493","103080807","104179460"
"494","103335285","104174164"
"495","103335285","104176841"
"496","103335877","103492085"
"497","103337706","104177644"
"498","103337706","103342873"
"499","104170359","104170951"
"500","104170359","104185288"
"501","104170359","104177779"
"502","104170359","104173196"
"503","104170359","104177007"
"504","104170359","104178601"
"505","104170951","104185355"
"506","104172780","104172257"
"507","104172780","104177171"
"508","104172780","104174081"
"509","104174168","104172254"
"510","104184397","103080264"
"511","103346876","92257580"
"512","103346876","103334996"
"513","103346876","103335285"
"514","104181950","103343372"
"515","104181950","103337774"
"516","104181950","103346876"
"517","104181950","103336460"
"518","103079913","104183614"
"519","103083199","104173881"
"520","103334983","103337681"
"521","103336216","103336096"
"522","103337687","103336457"
"523","103338269","103336224"
"524","103343207","104172758"
"525","103493568","103335975"
"526","104170057","104177678"
"527","104171290","103343702"
"528","104172761","94198714"
"529","104172761","103080807"
"530","104173343","104181076"
"531","104178281","104173873"
"532","104185333","104179142"
"533","88672986","103338225"
"534","92253282","104171069"
"535","94198714","99978413"
"536","103336117","64977805"
"537","103341960","104180233"
"538","104171191","103081048"
"539","104172570","104173346"
"540","104177034","104171070"
"541","103081053","103493568"
"542","103336123","104170589"
"543","103336123","103088298"
"544","104170001","103335998"
"545","104171197","103335011"
"546","104171197","104171449"
"547","103080801","103342121"
"548","103081046","103345974"
"549","103082303","104171165"
"550","103334799","104177781"
"551","103335871","104178792"
"552","103336116","104184484"
"553","103337373","104173347"
"554","104169873","104183684"
"555","104170945","103492447"
"556","104171190","104184485"
"557","104172447","104170414"
"558","104176395","61581804"
"559","103081016","88619373"
"560","103335968","103337373"
"561","103335968","104174068"
"562","103336086","103346876"
"563","103336190","104170594"
"564","103337509","103341072"
"565","103339099","104171185"
"566","103339099","104171183"
"567","103343453","103343766"
"568","104171042","103337401"
"569","104171042","104179523"
"570","104171160","103337544"
"571","104171160","103343453"
"572","104171264","104171065"
"573","104172583","104176857"
"574","104172583","104172582"
"575","104172618","104177584"
"576","104172618","103335991"
"577","104174064","103335102"
"578","104174173","104177630"
"579","104174173","104176987"
"580","104174180","104172334"
"581","104176330","92253285"
"582","104176330","103081028"
"583","104178527","103343669"
"584","104184497","103339954"
"585","104184497","104177644"
"586","103346875","104179456"
"587","104181949","104172259"
"588","104181949","104178739"
"589","103080804","103336119"
"590","103087091","103345047"
"591","103089964","104179556"
"592","103335874","103349323"
"593","103335974","103337286"
"594","103335974","104185021"
"595","103335974","103338118"
"596","103335994","104174022"
"597","103342161","104177171"
"598","103342161","104171513"
"599","103345033","103343994"
"600","104170948","104171527"
"601","104171048","104178283"
"602","104171048","103337374"
"603","104171048","103336091"
"604","104171068","103080270"
"605","104177235","103088870"
"606","104177235","104172258"
"607","104180107","104175860"
"608","104183659","103079857"
"609","103080893","103337389"
"610","103335963","104170395"
"611","103337562","103336216"
"612","103337562","104172611"
"613","103345970","104178705"
"614","103345970","104173192"
"615","103346880","104172611"
"616","104171037","103345033"
"617","104172636","104174064"
"618","104172636","103338307"
"619","104176325","104177469"
"620","104181044","104171125"
"621","104181044","104177668"
"622","104181954","103341321"
"623","104184364","103082563"
"624","103080888","103345058"
"625","103080899","104171298"
"626","103335958","103337687"
"627","103335965","104171543"
"628","103335969","104170045"
"629","103335969","103345974"
"630","103335969","104184779"
"631","103336181","103343718"
"632","103336187","103337558"
"633","103336187","103082078"
"634","103336454","104179556"
"635","103337285","104174067"
"636","103337560","104174767"
"637","103337560","104184670"
"638","103337560","104172583"
"639","103337560","104179068"
"640","104171032","103492086"
"641","104171039","104171307"
"642","104171043","104185352"
"643","104171043","104178405"
"644","104171043","104171183"
"645","104171255","103339094"
"646","104171261","104181944"
"647","104171261","88670025"
"648","104171528","103337560"
"649","104172359","103336120"
"650","104172634","103341767"
"651","104172634","104171037"
"652","104172634","103335996"
"653","104172634","103335351"
"654","103080765","104177571"
"655","103080803","104178281"
"656","103085814","103341775"
"657","103085814","104184926"
"658","103086889","104169892"
"659","103087424","104171651"
"660","103335835","104171860"
"661","103335873","103346870"
"662","103337579","103344392"
"663","103340884","64910313"
"664","103340884","103341072"
"665","103341959","94198518"
"666","103341959","103336455"
"667","103342494","104176145"
"668","104170909","104171192"
"669","104170947","103342162"
"670","104171489","104176329"
"671","104171489","64910343"
"672","104171754","104170414"
"673","104171754","104170420"
"674","104172653","104171441"
"675","104175958","104178446"
"676","104175958","103338118"
"677","104177033","104171433"
"678","104177033","103337285"
"679","104177568","104172254"
"680","104178534","104171032"
"681","104178535","104171449"
"682","103080805","103335011"
"683","103080890","103336055"
"684","103080890","103336196"
"685","103080890","103345030"
"686","103086247","103093541"
"687","103335875","88625154"
"688","103335960","103087639"
"689","103335960","104173127"
"690","103335960","103093468"
"691","103335960","104174772"
"692","103337221","103341913"
"693","103337555","103336059"
"694","103337555","103082319"
"695","103339651","104176160"
"696","103341317","104172755"
"697","103343663","104178695"
"698","103349288","103336343"
"699","104170949","104170082"
"700","104171034","103082009"
"701","104171034","103342121"
"702","104171034","104171133"
"703","104171034","103339094"
"704","104171621","103081053"
"705","104171621","103335968"
"706","104172295","104171034"
"707","104172295","94195754"
"708","104172629","103334799"
"709","104172629","103337509"
"710","104174725","103337562"
"711","104176391","103080893"
"712","104176391","103336111"
"713","104178737","103342592"
"714","104183611","104184397"
"715","104184362","104172153"
"716","103080272","104172294"
"717","103080759","103336118"
"718","103080906","104185402"
"719","103080906","103342707"
"720","103081382","103339936"
"721","103335342","103338269"
"722","103335829","103343368"
"723","103335976","103492832"
"724","103335976","103342564"
"725","103335976","103335973"
"726","103336107","92445701"
"727","103336107","103336431"
"728","103336452","103343528"
"729","103336452","104174174"
"730","103490641","104175922"
"731","104170416","104180132"
"732","104170903","103084581"
"733","104171050","103336181"
"734","104171050","103335061"
"735","104171050","103346021"
"736","104171181","103082488"
"737","104171181","104171195"
"738","104171526","104176146"
"739","104171526","104181764"
"740","104172835","78888442"
"741","67691015","104175978"
"742","69500784","103345974"
"743","71483455","103080765"
"744","78888433","104173192"
"745","80129447","103341317"
"746","86678562","104171624"
"747","88626641","103346880"
"748","88670016","104171290"
"749","92250312","104170426"
"750","92447185","104184871"
"751","94195745","103342161"
"752","103080774","103343663"
"753","103080797","92251875"
"754","103080806","103088933"
"755","103088592","103345033"
"756","103088592","94203012"
"757","103093470","94197978"
"758","103335844","104178723"
"759","103335844","104172837"
"760","103335867","104170408"
"761","103335876","104171537"
"762","103339654","103343372"
"763","103343662","104172611"
"764","103343662","103082438"
"765","103348539","104171193"
"766","103349336","104172779"
"767","104170918","103335008"
"768","104170918","103344003"
"769","104170941","94195745"
"770","104170950","103337509"
"771","104174728","104178219"
"772","104178736","104177638"
"773","104178736","103336093"
"774","104179896","104176397"
"775","104179896","104178549"
"776","104183613","104185285"
"777","104184410","67693266"
"778","103336050","103080272"
"779","103336191","104172225"
"780","103343701","71483108"
"781","104171124","104171505"
"782","104171265","103344003"
"783","104178775","80129438"
"784","104180269","103335963"
"785","103079736","103349231"
"786","103079736","104171497"
"787","103080756","103093470"
"788","103080778","104184322"
"789","103080901","104171065"
"790","103080901","103337287"
"791","103080978","103349265"
"792","103081115","104179768"
"793","103081337","94198717"
"794","103082329","104172448"
"795","103082330","78898793"
"796","103082608","104174139"
"797","103082608","104177303"
"798","103086014","103087165"
"799","103087167","103336224"
"800","103087168","104177640"
"801","103087180","104185335"
"802","103087181","104172733"
"803","103088573","103336123"
"804","103088591","103343700"
"805","103091802","103080906"
"806","103093469","103349234"
"807","103094420","103335832"
"808","103334806","103335958"
"809","103334806","103346875"
"810","103334806","103335992"
"811","103334806","104171393"
"812","103335336","104177224"
"813","103335826","104172222"
"814","103335848","104179422"
"815","103335971","104171386"
"816","103335971","103349280"
"817","103336048","104184343"
"818","103336081","104174772"
"819","103336184","103080806"
"820","103336185","103342235"
"821","103336255","104171191"
"822","103336407","103337686"
"823","103337354","103349232"
"824","103337399","104171177"
"825","103337400","103081121"
"826","103337556","103339653"
"827","103337678","104177632"
"828","103337678","103334997"
"829","103337678","104174057"
"830","103337678","104184315"
"831","103341082","103336090"
"832","103341084","103091811"
"833","103342237","103336319"
"834","103342238","103094344"
"835","103342250","103349249"
"836","103342251","59211828"
"837","103342794","92253282"
"838","103343643","103335877"
"839","103343661","104177008"
"840","103346019","104171125"
"841","103346019","104183611"
"842","103346871","103335991"
"843","103346871","104181954"
"844","103348538","103340884"
"845","103349289","104170941"
"846","103349482","104171624"
"847","103349483","103093469"
"848","103349598","104177300"
"849","103349598","103082331"
"850","104169880","104172877"
"851","104169880","104170176"
"852","104169880","103344393"
"853","104169880","103335337"
"854","104170356","104173873"
"855","104170410","104178537"
"856","104170900","104184349"
"857","104170922","104175958"
"858","104171045","104173192"
"859","104171045","104171255"
"860","104171122","104172153"
"861","104171155","103336048"
"862","104171258","103344384"
"863","104171259","103343702"
"864","104171329","103079939"
"865","104171481","103086001"
"866","104171481","103090927"
"867","104171481","103341520"
"868","104172428","103083703"
"869","104172473","104173299"
"870","104172474","104172611"
"871","104172630","103080906"
"872","104172752","104184306"
"873","104172752","103337561"
"874","104172752","103080802"
"875","104172752","88672989"
"876","104172807","103088758"
"877","104172834","103336375"
"878","104174065","104170412"
"879","104176153","104174727"
"880","104176156","103088383"
"881","104176158","104172301"
"882","104176400","104171171"
"883","104176400","104179422"
"884","104176404","104171543"
"885","104176615","104184392"
"886","104177311","103341317"
"887","104177312","103340786"
"888","104177324","103080979"
"889","104177325","104184351"
"890","104177868","104173147"
"891","104178717","104174141"
"892","104178735","103343828"
"893","104181093","104180107"
"894","104181093","104172408"
"895","104181945","104171255"
"896","104181945","104178717"
"897","104183612","104174137"
"898","104184359","103082081"
"899","104184363","103087164"
"900","104184392","104170359"
"901","104184392","103086015"
"902","104184411","104172626"
"903","104184556","104172632"
"904","104184557","104171393"
"905","104184559","103349271"
"906","104184672","103341783"
"907","104184672","92447185"
"908","104184672","103349941"
"909","104184672","104176326"
"910","103088640","103346101"
"911","103343710","103090111"
"912","104178784","103081046"
"913","103081009","104183613"
"914","103081009","104172447"
"915","103081036","103336319"
"916","103081036","104171624"
"917","103336079","103086006"
"918","103336079","104177007"
"919","103336106","103349423"
"920","103336106","103339067"
"921","104171153","103336367"
"922","104171153","103338983"
"923","104171180","104184347"
"924","104171180","104171048"
"925","103081034","103086472"
"926","103081034","104178705"
"927","103336104","88677870"
"928","103336104","103336343"
"929","103349293","103349341"
"930","104171178","104173343"
"931","104171178","103345996"
"932","104184367","103348537"
"933","103080768","104177706"
"934","103335284","103343447"
"935","103335838","104171123"
"936","104170358","104170918"
"937","104170358","103337509"
"938","104170912","104176155"
"939","103338982","104171049"
"940","104174056","103080801"
"941","104179475","104178725"
"942","104179475","103339698"
"943","103086255","67691017"
"944","103086888","103080028"
"945","103088584","103343651"
"946","103088625","103336140"
"947","103341325","104176395"
"948","103341958","104171529"
"949","103343654","103349223"
"950","103343695","104184319"
"951","104176399","103337558"
"952","104177032","104176849"
"953","104178728","104171623"
"954","104178769","103336048"
"955","103082607","103094218"
"956","103337677","104184390"
"957","103349287","104172582"
"958","103349292","103086255"
"959","104172751","104175955"
"960","104179536","103349279"
"961","104184361","104171393"
"962","104184366","104184348"
"963","103089294","103350180"
"964","103344364","104184350"
"965","104179438","103349248"
"966","103088618","104170426"
"967","103343688","103335008"
"968","104178762","104178902"
"969","103088626","103087159"
"970","103343696","103336135"
"971","104178770","103338808"
"972","103080842","103349596"
"973","103080842","104180966"
"974","103080850","104171067"
"975","103080894","104184341"
"976","103080970","65797630"
"977","103080970","104176841"
"978","103088619","103341076"
"979","103088627","104178775"
"980","103335912","104171122"
"981","103335912","103345922"
"982","103335920","104177308"
"983","103335964","104178405"
"984","103336040","104174168"
"985","103336040","104171165"
"986","103343689","103339094"
"987","103343697","104172366"
"988","104170986","104173489"
"989","104170986","103335850"
"990","104170994","103080778"
"991","104171038","104176403"
"992","104171114","103341086"
"993","104171114","103081345"
"994","104172876","104172653"
"995","104178763","103337220"
"996","104178771","104171114"
"997","104181173","103336079"
"998","103080839","104177783"
