"","Source","Target"
"1","103086862","103088934"
"2","103341932","103088934"
"3","104177006","104179078"
"4","103086679","103088934"
"5","103341749","104179078"
"6","104176823","103344004"
"7","103086860","103344004"
"8","103341930","104179078"
"9","104177004","103344004"
"10","103086858","104179077"
"11","103341928","104179077"
"12","104177002","104179077"
"13","103086464","59214166"
"14","103341534","80127885"
"15","104176608","78889995"
"16","103086677","92445622"
"17","103341747","61686617"
"18","104176821","103344003"
"19","103081868","86680200"
"20","103336938","69503054"
"21","103492237","88677870"
"22","104172012","64910343"
"23","59211858","104171858"
"24","59659707","103081793"
"25","61579108","88671643"
"26","61687326","94197230"
"27","61775218","94197306"
"28","62955569","103336786"
"29","64910343","103343149"
"30","64977835","62955538"
"31","65797663","59211858"
"32","65983238","78890071"
"33","67690609","61775185"
"34","69500363","80127820"
"35","71483028","59211825"
"36","78890071","59659681"
"37","80127809","88625014"
"38","86680200","103081714"
"39","88625003","103081717"
"40","88671654","59214165"
"41","92251950","64910313"
"42","92445547","69500363"
"43","94197382","103081857"
"44","104172335","65800156"
"45","104172334","61687295"
"46","104172333","92445698"
"47","104181501","59659635"
"48","104180806","71482995"
"49","104180806","104178223"
"50","103082079","88625003"
"51","103082080","78889919"
"52","103337149","59211827"
"53","103337150","88671579"
"54","103492448","59211847"
"55","103492449","65983208"
"56","104172223","86686416"
"57","104172224","88671578"
"58","103336059","59211828"
"59","103336059","103336862"
"60","104171133","92445699"
"61","104171133","88625154"
"62","103343764","92251950"
"63","104178838","103342873"
"64","103343763","61775188"
"65","103343767","62957918"
"66","104178837","104171861"
"67","104178841","78889996"
"68","103343762","86680049"
"69","103343766","104172224"
"70","103343766","92251796"
"71","104178836","65797630"
"72","104178840","103081716"
"73","104178840","61579078"
"74","103343761","103081868"
"75","103343761","104171937"
"76","104178835","69500332"
"77","104178835","104172225"
"78","104170589","104177947"
"79","104172260","103500816"
"80","103339701","86680048"
"81","104174775","62955558"
"82","104172258","104179806"
"83","103340786","104172337"
"84","104175860","65983207"
"85","104172259","104170589"
"86","104172257","94197382"
"87","104172257","103089662"
"88","104170307","104178836"
"89","104172256","103492085"
"90","103349607","88671503"
"91","104184681","88618606"
"92","72765447","104172223"
"93","104172372","59659707"
"94","104179767","103337150"
"95","104173520","104180806"
"96","104172371","65797632"
"97","104172371","92252547"
"98","104174767","104172258"
"99","104172370","104171137"
"100","104173344","104172608"
