"","Source","Target","FreeFloat"
"1",64910733,64910735,33
"2",64910685,64910777,416
"3",64910685,64910797,0
"4",64910685,64913024,3
"5",64910685,64911921,18
"6",64910686,64913024,56
"7",64910727,64913025,1
"8",64910797,64911988,-2
"9",64910772,64913024,1
"10",64910685,64911923,-24
"11",64910684,64910685,281
"12",64910685,64910686,-101
"13",64910795,64911988,24
"14",64910809,64911988,3
"15",64910686,64912347,0
"16",64910686,64912025,-4
"17",64910686,64911972,3
"18",64910685,64911977,15
"19",64910685,64911979,-3
"20",64910686,64911978,1
"21",64910686,64911980,70
"22",64910772,64912637,0
"23",64910685,64910810,0
"24",64910685,64911868,220
"25",64910727,64910741,0
"26",64910777,64910781,38
"27",64910797,64910807,55
"28",64910813,64910822,28
"29",64910694,64911924,177
"30",64910685,64910795,46
"31",64910685,64910809,-17
"32",64910685,64910808,3
"33",64910685,64910823,-13
"34",64910808,64910823,22
"35",64910694,64910810,28
"36",64910793,64910806,-91
"37",64910806,64910821,-3
"38",64910686,64912523,1
"39",64910685,64912523,-7
"40",64910685,64912521,-4
"41",64910686,64912521,-28
"42",64910686,64912354,24
"43",64910685,64912354,59
"44",64910685,64912420,394
"45",64910684,64910694,395
"46",64910684,64912751,3
"47",64910684,64912752,1
"48",64910684,64912753,1
"49",64910684,64912754,-63
"50",64910684,64912755,8
"51",64910684,64912756,-10
"52",64910684,64912757,19
"53",64910684,64912758,-43
"54",64910684,64912759,32
"55",64910684,64912760,11
"56",64910684,64912761,-30
"57",64910684,64912762,1
"58",64910684,64912722,2
"59",64910684,64912724,4
"60",64910684,64912734,-4
"61",64910684,64912723,24
"62",64910684,64912725,29
"63",64910684,64912740,49
"64",64910684,64912735,-1
"65",64910684,64912744,55
"66",64910684,64912736,75
"67",64910684,64912742,6
"68",64910684,64912743,322
"69",64910684,64912738,143
"70",64910684,64912728,-43
"71",64910684,64912745,-26
"72",64910684,64912746,-1
"73",64910684,64912747,5
"74",64910684,64912739,150
"75",64910684,64912741,-46
"76",64910684,64912750,3
"77",64910684,64912749,-115
"78",64910684,64912748,102
"79",64910684,64912737,1
"80",64910685,64910793,1
"81",64910685,64910806,-4
"82",64910685,64910821,0
"83",64910685,64910792,122
"84",64910685,64910805,217
"85",64910685,64910794,-15
"86",64910685,64910783,-7
"87",64910685,64912418,-13
"88",64910685,64911917,301
"89",64910694,64911990,1
"90",64910685,64911992,4
"91",64910823,64911868,42
"92",64910684,64912917,35
"93",64910684,64912897,216
"94",64910684,64912885,72
"95",64910684,64912869,172
"96",64910684,64912873,1
"97",64910684,64912861,-32
"98",64910684,64912889,131
"99",64910684,64912881,290
"100",64910684,64912893,11
"101",64910684,64912909,-42
"102",64910684,64912913,-27
"103",64910684,64912905,7
"104",64910684,64912921,0
"105",64910684,64912933,11
"106",64910684,64912929,44
"107",64910684,64912877,35
"108",64910751,64910752,66
"109",64910694,64910751,153
"110",64910694,64911881,0
"111",64910694,64911856,182
"112",64910684,64910696,-31
"113",64910696,64910685,0
"114",64910685,64912932,59
"115",64910685,64912912,35
"116",64910694,64911992,126
"117",64910793,64912031,48
"118",64910792,64912031,5
"119",64910805,64912031,1
"120",64910806,64912031,1
"121",64910821,64912031,-29
"122",64910686,64911984,1
"123",64910813,64910713,-28
"124",64910797,64910713,-17
"125",64910697,64909670,59
"126",64910697,64910717,-30
"127",64910698,64909668,82
"128",64910686,64909669,364
"129",64910696,64910710,-7
"130",64910686,64911996,203
"131",64910686,64912003,-15
"132",64910686,64912009,80
"133",64910686,64912763,31
"134",64910686,64912775,4
"135",64910685,64912775,49
"136",64910685,64912763,3
"137",64910686,64912766,-102
"138",64910685,64912766,-42
"139",64910686,64912769,161
"140",64910685,64912769,17
"141",64910686,64912772,7
"142",64910685,64912772,118
"143",64910686,64912777,-115
"144",64910686,64912017,-3
"145",80128538,80124042,91
"146",80128535,80123438,14
"147",80128531,80122623,-57
"148",80128535,80121109,133
"149",80128535,80121110,381
"150",80128532,80119114,1
"151",80128539,80119114,63
"152",80128508,80119114,3
"153",80128528,80128500,360
"154",80128545,80121517,99
"155",80128532,80128496,385
"156",80128539,80128496,0
"157",80128532,80128535,1
"158",80128536,80128521,-139
"159",80128532,80124044,110
"160",80128542,80128538,-12
"161",80128535,80129478,0
"162",80128522,80122640,190
"163",80128540,80123680,56
"164",80128543,80123835,-6
"165",80128547,80129497,-32
"166",80128547,80128544,5
"167",80128546,80128543,14
"168",80128546,80128545,63
"169",80128547,80128546,179
"170",80128549,80128546,-27
"171",80128548,80129495,0
"172",80128537,80124038,0
"173",80128536,80124043,1
"174",80128543,80129475,-2
"175",80128524,80128520,3
"176",80128541,80128539,-9
"177",80128538,80128519,111
"178",80128508,80128507,11
"179",80128545,80128531,14
"180",80128545,80128529,55
"181",80128544,80128537,-49
"182",80128545,80128540,66
"183",80128549,80128541,-4
"184",80128548,80128542,5
"185",80128547,80128537,49
"186",80128519,80128518,443
"187",80128531,80128517,-154
"188",80128521,80128522,38
"189",80128517,80128516,20
"190",80128516,80128507,1
"191",80128517,80128508,1
"192",80128519,80128510,53
"193",80128522,80128513,50
